drug,protein,Genesym
DB05424,640,BLK
DB05424,3654,IRAK1
DB05424,660,BMX
DB05424,3718,JAK3
DB05424,5602,MAPK10
DB05424,2044,EPHA5
DB05424,2050,EPHB4
DB05424,2047,EPHB1
DB05424,2043,EPHA4
DB05424,30811,HUNK
DB05424,695,BTK
DB05424,3702,ITK
DB05424,1760,DMPK
DB05424,5871,MAP4K2
DB05424,5607,MAP2K5
DB05424,1859,DYRK1A
DB05424,5753,PTK6
DB05424,2066,ERBB4
DB05424,2045,EPHA7
DB05424,80122,MAP3K19
DB05424,120892,LRRK2
DB05424,25989,ULK3
DB05424,50488,MINK1
DB05424,147746,HIPK4
DB05424,140901,STK35
DB05424,8445,DYRK2
DB05424,4215,MAP3K3
DB05424,83732,RIOK1
DB05424,9748,SLK
DB05424,2872,MKNK2
DB05424,27148,STK36
DB05424,55589,BMP2K
DB05424,51135,IRAK4
DB05424,9263,STK17A
DB05424,285220,EPHA6
DB05424,23043,TNIK
DB05424,238,ALK
DB05424,6795,AURKC
DB05424,23387,SIK3
DB05424,10746,MAP3K2
DB05424,11183,MAP4K5
DB05424,4216,MAP3K4
DB05448,7295,TXN
DB05465,10733,PLK4
DB05465,2580,GAK
DB05465,6793,STK10
DB05465,1956,EGFR
DB05465,4914,NTRK1
DB05465,3932,LCK
DB05465,1436,CSF1R
DB05465,5159,PDGFRB
DB05465,3815,KIT
DB05465,6714,SRC
DB05465,558,AXL
DB05465,2324,FLT4
DB05465,3791,KDR
DB05465,2322,FLT3
DB05465,1195,CLK1
DB05465,1196,CLK2
DB05465,1198,CLK3
DB05465,1022,CDK7
DB05465,5127,CDK16
DB05465,10461,MERTK
DB05465,5607,MAP2K5
DB05465,4921,DDR2
DB05465,80122,MAP3K19
DB05465,147746,HIPK4
DB05465,9212,AURKB
DB05465,9748,SLK
DB05465,11183,MAP4K5
DB05812,1586,CYP17A1
DB06148,3350,HTR1A
DB06148,1813,DRD2
DB06148,151,ADRA2B
DB06148,152,ADRA2C
DB06148,1812,DRD1
DB06148,3274,HRH2
DB06148,3355,HTR1F
DB06148,6532,SLC6A4
DB06148,3363,HTR7
DB06148,148,ADRA1A
DB06148,1814,DRD3
DB06148,3357,HTR2B
DB06148,3362,HTR6
DB06148,6531,SLC6A3
DB06148,59340,HRH4
DB06155,1559,CYP2C9
DB06155,1269,CNR2
DB06155,3757,KCNH2
DB06203,1544,CYP1A2
DB06203,1576,CYP3A4
DB06203,1565,CYP2D6
DB06203,1559,CYP2C9
DB06203,1803,DPP4
DB06203,1557,CYP2C19
DB06207,148,ADRA1A
DB06216,154,ADRB2
DB06216,1129,CHRM2
DB06216,153,ADRB1
DB06216,3350,HTR1A
DB06216,150,ADRA2A
DB06216,1813,DRD2
DB06216,151,ADRA2B
DB06216,152,ADRA2C
DB06216,6915,TBXA2R
DB06216,3352,HTR1D
DB06216,3351,HTR1B
DB06216,3356,HTR2A
DB06216,3358,HTR2C
DB06216,3354,HTR1E
DB06216,6532,SLC6A4
DB06216,3269,HRH1
DB06216,1814,DRD3
DB06218,771,CA12
DB06218,759,CA1
DB06218,760,CA2
DB06218,761,CA3
DB06218,762,CA4
DB06218,765,CA6
DB06218,763,CA5A
DB06218,768,CA9
DB06218,23632,CA14
DB06218,11238,CA5B
DB06288,150,ADRA2A
DB06288,152,ADRA2C
DB06288,1815,DRD4
DB06288,3352,HTR1D
DB06288,3351,HTR1B
DB06288,3357,HTR2B
DB06288,3362,HTR6
DB06292,6523,SLC5A1
DB06292,115584,SLC5A11
DB06335,54878,DPP8
DB06335,91039,DPP9
DB06589,658,BMPR1B
DB06589,2051,EPHB6
DB06589,23396,PIP5K1C
DB06589,3717,JAK2
DB06589,9448,MAP4K4
DB06589,25,ABL1
DB06589,2242,FES
DB06589,1436,CSF1R
DB06589,4067,LYN
DB06589,5979,RET
DB06589,4233,MET
DB06589,3055,HCK
DB06589,5159,PDGFRB
DB06589,3815,KIT
DB06589,2260,FGFR1
DB06589,673,BRAF
DB06589,5156,PDGFRA
DB06589,2321,FLT1
DB06589,2261,FGFR3
DB06589,4058,LTK
DB06589,7297,TYK2
DB06589,2324,FLT4
DB06589,3791,KDR
DB06589,2322,FLT3
DB06589,7048,TGFBR2
DB06589,6850,SYK
DB06589,5599,MAPK8
DB06589,3654,IRAK1
DB06589,7010,TEK
DB06589,5871,MAP4K2
DB06589,5607,MAP2K5
DB06589,4214,MAP3K1
DB06589,8711,TNK1
DB06589,4921,DDR2
DB06589,80122,MAP3K19
DB06589,57551,TAOK1
DB06589,79837,PIP4K2C
DB06589,55781,RIOK2
DB06589,9748,SLK
DB06589,51347,TAOK3
DB06589,5298,PI4KB
DB06589,9344,TAOK2
DB06589,10746,MAP3K2
DB06594,3356,HTR2A
DB06594,3357,HTR2B
DB06605,2159,F10
DB06616,10494,STK25
DB06616,11113,CIT
DB06616,8780,RIOK3
DB06616,5609,MAP2K7
DB06616,1111,CHEK1
DB06616,8573,CASK
DB06616,2580,GAK
DB06616,2051,EPHB6
DB06616,9175,MAP3K13
DB06616,6885,MAP3K7
DB06616,8767,RIPK2
DB06616,9891,NUAK1
DB06616,3717,JAK2
DB06616,9475,ROCK2
DB06616,8408,ULK1
DB06616,5063,PAK3
DB06616,6793,STK10
DB06616,23683,PRKD3
DB06616,5218,CDK14
DB06616,9448,MAP4K4
DB06616,11200,CHEK2
DB06616,25,ABL1
DB06616,1956,EGFR
DB06616,2064,ERBB2
DB06616,4914,NTRK1
DB06616,3932,LCK
DB06616,2534,FYN
DB06616,4869,NPM1
DB06616,2242,FES
DB06616,1436,CSF1R
DB06616,7525,YES1
DB06616,4067,LYN
DB06616,5979,RET
DB06616,4233,MET
DB06616,3055,HCK
DB06616,5159,PDGFRB
DB06616,2268,FGR
DB06616,3815,KIT
DB06616,6714,SRC
DB06616,5261,PHKG2
DB06616,5156,PDGFRA
DB06616,2241,FER
DB06616,2041,EPHA1
DB06616,2065,ERBB3
DB06616,6198,RPS6KB1
DB06616,1969,EPHA2
DB06616,2042,EPHA3
DB06616,2046,EPHA8
DB06616,2048,EPHB2
DB06616,4058,LTK
DB06616,7297,TYK2
DB06616,7465,WEE1
DB06616,558,AXL
DB06616,2868,GRK4
DB06616,7075,TIE1
DB06616,5605,MAP2K2
DB06616,2322,FLT3
DB06616,1445,CSK
DB06616,4145,MATK
DB06616,7006,TEC
DB06616,7294,TXK
DB06616,27,ABL2
DB06616,2444,FRK
DB06616,7535,ZAP70
DB06616,6850,SYK
DB06616,6416,MAP2K4
DB06616,5606,MAP2K3
DB06616,1452,CSNK1A1
DB06616,1453,CSNK1D
DB06616,1454,CSNK1E
DB06616,1195,CLK1
DB06616,1196,CLK2
DB06616,1198,CLK3
DB06616,1022,CDK7
DB06616,640,BLK
DB06616,3654,IRAK1
DB06616,6197,RPS6KA3
DB06616,660,BMX
DB06616,4751,NEK2
DB06616,3718,JAK3
DB06616,5608,MAP2K6
DB06616,5347,PLK1
DB06616,2049,EPHB3
DB06616,2044,EPHA5
DB06616,2050,EPHB4
DB06616,2047,EPHB1
DB06616,2043,EPHA4
DB06616,30811,HUNK
DB06616,150094,SIK1
DB06616,4293,MAP3K9
DB06616,5127,CDK16
DB06616,5581,PRKCE
DB06616,5604,MAP2K1
DB06616,7010,TEK
DB06616,5588,PRKCQ
DB06616,4486,MST1R
DB06616,5747,PTK2
DB06616,5580,PRKCD
DB06616,695,BTK
DB06616,7301,TYRO3
DB06616,10188,TNK2
DB06616,780,DDR1
DB06616,3702,ITK
DB06616,1760,DMPK
DB06616,5871,MAP4K2
DB06616,7786,MAP3K12
DB06616,10461,MERTK
DB06616,6789,STK4
DB06616,5562,PRKAA1
DB06616,5058,PAK1
DB06616,5607,MAP2K5
DB06616,5598,MAPK7
DB06616,5062,PAK2
DB06616,6788,STK3
DB06616,4214,MAP3K1
DB06616,6093,ROCK1
DB06616,818,CAMK2G
DB06616,659,BMPR2
DB06616,9641,IKBKE
DB06616,2185,PTK2B
DB06616,2066,ERBB4
DB06616,6196,RPS6KA2
DB06616,4638,MYLK
DB06616,4916,NTRK3
DB06616,5585,PKN1
DB06616,5586,PKN2
DB06616,4296,MAP3K11
DB06616,4915,NTRK2
DB06616,5260,PHKG1
DB06616,4921,DDR2
DB06616,22848,AAK1
DB06616,80122,MAP3K19
DB06616,51086,TNNI3K
DB06616,120892,LRRK2
DB06616,25989,ULK3
DB06616,25778,DSTYK
DB06616,57551,TAOK1
DB06616,11011,TLK2
DB06616,7444,VRK2
DB06616,204851,HIPK1
DB06616,57118,CAMK1D
DB06616,8491,MAP4K3
DB06616,167359,NIM1K
DB06616,9706,ULK2
DB06616,50488,MINK1
DB06616,122011,CSNK1A1L
DB06616,147746,HIPK4
DB06616,53904,MYO3A
DB06616,79858,NEK11
DB06616,140901,STK35
DB06616,131890,GRK7
DB06616,140469,MYO3B
DB06616,11184,MAP4K1
DB06616,65061,CDK15
DB06616,10645,CAMKK2
DB06616,9088,PKMYT1
DB06616,8394,PIP5K1A
DB06616,4215,MAP3K3
DB06616,27102,EIF2AK1
DB06616,83732,RIOK1
DB06616,83942,TSSK1B
DB06616,65975,STK33
DB06616,85443,DCLK3
DB06616,81788,NUAK2
DB06616,23235,SIK2
DB06616,9748,SLK
DB06616,51347,TAOK3
DB06616,28996,HIPK2
DB06616,6725,SRMS
DB06616,10114,HIPK3
DB06616,57396,CLK4
DB06616,27148,STK36
DB06616,55589,BMP2K
DB06616,51135,IRAK4
DB06616,51776,MAP3K20
DB06616,10769,PLK2
DB06616,51765,STK26
DB06616,440275,EIF2AK4
DB06616,51701,NLK
DB06616,27347,STK39
DB06616,285220,EPHA6
DB06616,29110,TBK1
DB06616,27330,RPS6KA6
DB06616,23043,TNIK
DB06616,9874,TLK1
DB06616,9344,TAOK2
DB06616,238,ALK
DB06616,26576,SRPK3
DB06616,815,CAMK2A
DB06616,22983,MAST1
DB06616,23387,SIK3
DB06616,10746,MAP3K2
DB06616,11183,MAP4K5
DB06616,8428,STK24
DB06616,4216,MAP3K4
DB06684,1813,DRD2
DB06684,6532,SLC6A4
DB06684,3269,HRH1
DB06684,1814,DRD3
DB06684,3360,HTR4
DB06694,3352,HTR1D
DB06694,3351,HTR1B
DB06700,6530,SLC6A2
DB06700,6532,SLC6A4
DB06710,6462,SHBG
DB06711,151,ADRA2B
DB06711,152,ADRA2C
DB06711,11188,NISCH
DB06729,1559,CYP2C9
DB06743,2742,GLRA2
DB06777,6555,SLC10A2
DB06809,729230,CCR2
DB06809,1233,CCR4
DB06813,1719,DHFR
DB06817,1230,CCR1
DB06999,658,BMPR1B
DB06999,10733,PLK4
DB06999,6790,AURKA
DB06999,9201,DCLK1
DB06999,2051,EPHB6
DB06999,8767,RIPK2
DB06999,8576,STK16
DB06999,9943,OXSR1
DB06999,9448,MAP4K4
DB06999,25,ABL1
DB06999,5894,RAF1
DB06999,3932,LCK
DB06999,2534,FYN
DB06999,2242,FES
DB06999,1436,CSF1R
DB06999,7525,YES1
DB06999,4067,LYN
DB06999,3055,HCK
DB06999,5159,PDGFRB
DB06999,2268,FGR
DB06999,3815,KIT
DB06999,2260,FGFR1
DB06999,6714,SRC
DB06999,5156,PDGFRA
DB06999,2321,FLT1
DB06999,2263,FGFR2
DB06999,3791,KDR
DB06999,5605,MAP2K2
DB06999,2322,FLT3
DB06999,7048,TGFBR2
DB06999,1445,CSK
DB06999,27,ABL2
DB06999,2444,FRK
DB06999,6416,MAP2K4
DB06999,1024,CDK8
DB06999,1195,CLK1
DB06999,1196,CLK2
DB06999,640,BLK
DB06999,4751,NEK2
DB06999,3984,LIMK1
DB06999,3985,LIMK2
DB06999,150094,SIK1
DB06999,1455,CSNK1G2
DB06999,5604,MAP2K1
DB06999,5747,PTK2
DB06999,10188,TNK2
DB06999,780,DDR1
DB06999,5058,PAK1
DB06999,5607,MAP2K5
DB06999,8737,RIPK1
DB06999,93,ACVR2B
DB06999,5753,PTK6
DB06999,8536,CAMK1
DB06999,7016,TESK1
DB06999,4921,DDR2
DB06999,340156,MYLK4
DB06999,204851,HIPK1
DB06999,50488,MINK1
DB06999,147746,HIPK4
DB06999,79858,NEK11
DB06999,8445,DYRK2
DB06999,23678,SGK3
DB06999,9212,AURKB
DB06999,55781,RIOK2
DB06999,23097,CDK19
DB06999,85443,DCLK3
DB06999,23235,SIK2
DB06999,9748,SLK
DB06999,28996,HIPK2
DB06999,6725,SRMS
DB06999,10114,HIPK3
DB06999,27148,STK36
DB06999,51776,MAP3K20
DB06999,440275,EIF2AK4
DB06999,5298,PI4KB
DB06999,23043,TNIK
DB06999,6795,AURKC
DB06999,11183,MAP4K5
DB07340,6790,AURKA
DB07340,7272,TTK
DB07352,8658,TNKS
DB07352,2099,ESR1
DB07352,1543,CYP1A1
DB07352,1544,CYP1A2
DB07352,5243,ABCB1
DB07352,367,AR
DB07352,5292,PIM1
DB07352,1588,CYP19A1
DB07352,3292,HSD17B1
DB07352,4128,MAOA
DB07352,4363,ABCC1
DB07352,5743,PTGS2
DB07352,2322,FLT3
DB07352,3293,HSD17B3
DB07352,7498,XDH
DB07352,5602,MAPK10
DB07352,1457,CSNK2A1
DB07352,1021,CDK6
DB07352,1020,CDK5
DB07352,3735,KARS1
DB07352,1432,MAPK14
DB07352,1545,CYP1B1
DB07352,2100,ESR2
DB07352,80351,TNKS2
DB07352,50507,NOX4
DB07352,9429,ABCG2
DB07715,11156,PTP4A3
DB07715,2099,ESR1
DB07715,2100,ESR2
DB07767,771,CA12
DB07767,759,CA1
DB07767,760,CA2
DB07767,765,CA6
DB07767,763,CA5A
DB07767,768,CA9
DB07767,23632,CA14
DB07795,5292,PIM1
DB07795,239,ALOX12
DB07795,1017,CDK2
DB07795,3293,HSD17B3
DB07795,7498,XDH
DB07795,5602,MAPK10
DB07795,1020,CDK5
DB07795,1432,MAPK14
DB07810,2099,ESR1
DB07941,5600,MAPK11
DB07995,9475,ROCK2
DB07995,9252,RPS6KA5
DB07995,5578,PRKCA
DB07995,6198,RPS6KB1
DB07995,207,AKT1
DB07995,208,AKT2
DB07995,1452,CSNK1A1
DB07995,1457,CSNK2A1
DB07995,816,CAMK2B
DB07995,5592,PRKG1
DB07995,91807,MYLK3
DB07995,10000,AKT3
DB08052,5293,PIK3CD
DB08052,25,ABL1
DB08052,1956,EGFR
DB08052,5979,RET
DB08052,3055,HCK
DB08052,5156,PDGFRA
DB08052,3791,KDR
DB08052,5291,PIK3CB
DB08052,5294,PIK3CG
DB08052,2050,EPHB4
DB08052,5591,PRKDC
DB08052,5298,PI4KB
DB08059,5293,PIK3CD
DB08059,5291,PIK3CB
DB08059,2475,MTOR
DB08059,4638,MYLK
DB08059,1263,PLK3
DB08059,10769,PLK2
DB08079,4233,MET
DB08079,1576,CYP3A4
DB08142,8573,CASK
DB08142,6792,CDKL5
DB08142,5218,CDK14
DB08142,983,CDK1
DB08142,1019,CDK4
DB08142,4117,MAK
DB08142,984,CDK11B
DB08142,1195,CLK1
DB08142,1196,CLK2
DB08142,1198,CLK3
DB08142,2931,GSK3A
DB08142,2932,GSK3B
DB08142,1022,CDK7
DB08142,1025,CDK9
DB08142,1018,CDK3
DB08142,1021,CDK6
DB08142,1020,CDK5
DB08142,5127,CDK16
DB08142,5128,CDK17
DB08142,5129,CDK18
DB08142,1760,DMPK
DB08142,5598,MAPK7
DB08142,1859,DYRK1A
DB08142,8621,CDK13
DB08142,57551,TAOK1
DB08142,166614,DCLK2
DB08142,225689,MAPK15
DB08142,8445,DYRK2
DB08142,8999,CDKL2
DB08142,65061,CDK15
DB08142,10645,CAMKK2
DB08142,23097,CDK19
DB08142,85443,DCLK3
DB08142,9748,SLK
DB08142,51347,TAOK3
DB08142,57396,CLK4
DB08142,9874,TLK1
DB08142,9344,TAOK2
DB08142,22858,CILK1
DB08142,728642,CDK11A
DB08142,9149,DYRK1B
DB08162,9252,RPS6KA5
DB08162,6347,CCL2
DB08162,4638,MYLK
DB08162,5585,PKN1
DB08162,5586,PKN2
DB08356,3320,HSP90AA1
DB08356,3326,HSP90AB1
DB08399,3932,LCK
DB08399,3735,KARS1
DB08568,11113,CIT
DB08568,8780,RIOK3
DB08568,1111,CHEK1
DB08568,2580,GAK
DB08568,1613,DAPK3
DB08568,6885,MAP3K7
DB08568,8408,ULK1
DB08568,9252,RPS6KA5
DB08568,8986,RPS6KA4
DB08568,6792,CDKL5
DB08568,9262,STK17B
DB08568,23683,PRKD3
DB08568,5218,CDK14
DB08568,9448,MAP4K4
DB08568,9113,LATS1
DB08568,10298,PAK4
DB08568,11200,CHEK2
DB08568,5582,PRKCG
DB08568,5979,RET
DB08568,3815,KIT
DB08568,5292,PIM1
DB08568,5261,PHKG2
DB08568,5610,EIF2AK2
DB08568,1459,CSNK2A2
DB08568,5567,PRKACB
DB08568,6198,RPS6KB1
DB08568,5583,PRKCH
DB08568,1017,CDK2
DB08568,5594,MAPK1
DB08568,207,AKT1
DB08568,208,AKT2
DB08568,2868,GRK4
DB08568,2322,FLT3
DB08568,5606,MAP2K3
DB08568,1452,CSNK1A1
DB08568,1453,CSNK1D
DB08568,9261,MAPKAPK2
DB08568,1024,CDK8
DB08568,1454,CSNK1E
DB08568,1195,CLK1
DB08568,1196,CLK2
DB08568,1198,CLK3
DB08568,2931,GSK3A
DB08568,2932,GSK3B
DB08568,1022,CDK7
DB08568,1025,CDK9
DB08568,3654,IRAK1
DB08568,6197,RPS6KA3
DB08568,5613,PRKX
DB08568,3718,JAK3
DB08568,1612,DAPK1
DB08568,1457,CSNK2A1
DB08568,8396,PIP4K2B
DB08568,6733,SRPK2
DB08568,1455,CSNK1G2
DB08568,1018,CDK3
DB08568,5127,CDK16
DB08568,5128,CDK17
DB08568,5581,PRKCE
DB08568,5588,PRKCQ
DB08568,5580,PRKCD
DB08568,5129,CDK18
DB08568,1760,DMPK
DB08568,5871,MAP4K2
DB08568,5058,PAK1
DB08568,5062,PAK2
DB08568,6788,STK3
DB08568,5593,PRKG2
DB08568,6093,ROCK1
DB08568,8899,PRP4K
DB08568,816,CAMK2B
DB08568,818,CAMK2G
DB08568,817,CAMK2D
DB08568,1859,DYRK1A
DB08568,5592,PRKG1
DB08568,8621,CDK13
DB08568,9833,MELK
DB08568,4638,MYLK
DB08568,5585,PKN1
DB08568,5586,PKN2
DB08568,814,CAMK4
DB08568,5260,PHKG1
DB08568,22848,AAK1
DB08568,91807,MYLK3
DB08568,80122,MAP3K19
DB08568,120892,LRRK2
DB08568,8476,CDC42BPA
DB08568,55561,CDC42BPG
DB08568,57551,TAOK1
DB08568,415116,PIM3
DB08568,7444,VRK2
DB08568,340156,MYLK4
DB08568,204851,HIPK1
DB08568,57118,CAMK1D
DB08568,51265,CDKL3
DB08568,9706,ULK2
DB08568,50488,MINK1
DB08568,84254,CAMKK1
DB08568,122011,CSNK1A1L
DB08568,147746,HIPK4
DB08568,225689,MAPK15
DB08568,131890,GRK7
DB08568,8445,DYRK2
DB08568,8999,CDKL2
DB08568,23678,SGK3
DB08568,65061,CDK15
DB08568,10645,CAMKK2
DB08568,6732,SRPK1
DB08568,8394,PIP5K1A
DB08568,83732,RIOK1
DB08568,55781,RIOK2
DB08568,23097,CDK19
DB08568,65975,STK33
DB08568,81788,NUAK2
DB08568,51347,TAOK3
DB08568,28996,HIPK2
DB08568,10114,HIPK3
DB08568,57396,CLK4
DB08568,2872,MKNK2
DB08568,53944,CSNK1G1
DB08568,56924,PAK6
DB08568,26524,LATS2
DB08568,55589,BMP2K
DB08568,51135,IRAK4
DB08568,11040,PIM2
DB08568,57144,PAK5
DB08568,5298,PI4KB
DB08568,9263,STK17A
DB08568,23604,DAPK2
DB08568,23043,TNIK
DB08568,9344,TAOK2
DB08568,26576,SRPK3
DB08568,22858,CILK1
DB08568,6795,AURKC
DB08568,815,CAMK2A
DB08568,10000,AKT3
DB08568,9149,DYRK1B
DB08568,9578,CDC42BPB
DB08568,1456,CSNK1G3
DB08597,658,BMPR1B
DB08597,3932,LCK
DB08597,7525,YES1
DB08597,652,BMP4
DB08597,6714,SRC
DB08597,2321,FLT1
DB08597,1969,EPHA2
DB08597,3791,KDR
DB08597,2322,FLT3
DB08597,657,BMPR1A
DB08597,94,ACVRL1
DB08597,7048,TGFBR2
DB08597,659,BMPR2
DB08597,6195,RPS6KA1
DB08597,8569,MKNK1
DB08597,5564,PRKAB1
DB08756,9252,RPS6KA5
DB08756,6347,CCL2
DB08756,5581,PRKCE
DB08756,5586,PKN2
DB08800,5747,PTK2
DB08828,213,ALB
DB08828,6469,SHH
DB08828,6608,SMO
DB08860,3156,HMGCR
DB08868,8698,S1PR4
DB08868,1901,S1PR1
DB08868,1903,S1PR3
DB08868,53637,S1PR5
DB08877,658,BMPR1B
DB08877,10733,PLK4
DB08877,10494,STK25
DB08877,8780,RIOK3
DB08877,3551,IKBKB
DB08877,8573,CASK
DB08877,2580,GAK
DB08877,9201,DCLK1
DB08877,2051,EPHB6
DB08877,1613,DAPK3
DB08877,6885,MAP3K7
DB08877,3717,JAK2
DB08877,9475,ROCK2
DB08877,8408,ULK1
DB08877,2081,ERN1
DB08877,9252,RPS6KA5
DB08877,8986,RPS6KA4
DB08877,8576,STK16
DB08877,9262,STK17B
DB08877,9943,OXSR1
DB08877,10298,PAK4
DB08877,25,ABL1
DB08877,4914,NTRK1
DB08877,5979,RET
DB08877,3815,KIT
DB08877,673,BRAF
DB08877,5261,PHKG2
DB08877,1459,CSNK2A2
DB08877,3716,JAK1
DB08877,2042,EPHA3
DB08877,4058,LTK
DB08877,7297,TYK2
DB08877,2868,GRK4
DB08877,7272,TTK
DB08877,5605,MAP2K2
DB08877,5599,MAPK8
DB08877,6416,MAP2K4
DB08877,5606,MAP2K3
DB08877,1452,CSNK1A1
DB08877,1196,CLK2
DB08877,1022,CDK7
DB08877,3654,IRAK1
DB08877,4752,NEK3
DB08877,3718,JAK3
DB08877,5347,PLK1
DB08877,1612,DAPK1
DB08877,54101,RIPK4
DB08877,1457,CSNK2A1
DB08877,5581,PRKCE
DB08877,5604,MAP2K1
DB08877,10188,TNK2
DB08877,1760,DMPK
DB08877,5871,MAP4K2
DB08877,4214,MAP3K1
DB08877,5593,PRKG2
DB08877,6093,ROCK1
DB08877,816,CAMK2B
DB08877,818,CAMK2G
DB08877,817,CAMK2D
DB08877,1859,DYRK1A
DB08877,659,BMPR2
DB08877,8536,CAMK1
DB08877,9641,IKBKE
DB08877,9833,MELK
DB08877,6196,RPS6KA2
DB08877,6195,RPS6KA1
DB08877,4638,MYLK
DB08877,6011,GRK1
DB08877,4916,NTRK3
DB08877,4915,NTRK2
DB08877,5260,PHKG1
DB08877,22848,AAK1
DB08877,388228,SBK1
DB08877,80122,MAP3K19
DB08877,120892,LRRK2
DB08877,25989,ULK3
DB08877,389840,MAP3K15
DB08877,2011,MARK2
DB08877,57551,TAOK1
DB08877,7444,VRK2
DB08877,204851,HIPK1
DB08877,57118,CAMK1D
DB08877,9706,ULK2
DB08877,166614,DCLK2
DB08877,140609,NEK7
DB08877,131890,GRK7
DB08877,8445,DYRK2
DB08877,57172,CAMK1G
DB08877,6732,SRPK1
DB08877,4215,MAP3K3
DB08877,83732,RIOK1
DB08877,55781,RIOK2
DB08877,85443,DCLK3
DB08877,81788,NUAK2
DB08877,51347,TAOK3
DB08877,28996,HIPK2
DB08877,10114,HIPK3
DB08877,1263,PLK3
DB08877,57396,CLK4
DB08877,2872,MKNK2
DB08877,56924,PAK6
DB08877,55589,BMP2K
DB08877,10769,PLK2
DB08877,57144,PAK5
DB08877,51765,STK26
DB08877,5298,PI4KB
DB08877,9263,STK17A
DB08877,27347,STK39
DB08877,29110,TBK1
DB08877,23604,DAPK2
DB08877,27330,RPS6KA6
DB08877,9344,TAOK2
DB08877,238,ALK
DB08877,26576,SRPK3
DB08877,6795,AURKC
DB08877,815,CAMK2A
DB08877,22983,MAST1
DB08877,23387,SIK3
DB08877,10746,MAP3K2
DB08878,1719,DHFR
DB08881,5894,RAF1
DB08881,673,BRAF
DB08882,1803,DPP4
DB08882,2191,FAP
DB08893,155,ADRB3
DB08896,673,BRAF
DB08896,2053,EPHX2
DB08896,3791,KDR
DB08897,1129,CHRM2
DB08897,1132,CHRM4
DB08897,1133,CHRM5
DB08897,1128,CHRM1
DB08897,1131,CHRM3
DB08899,367,AR
DB08901,25,ABL1
DB08901,5979,RET
DB08901,3815,KIT
DB08901,3791,KDR
DB08901,2932,GSK3B
DB08905,1588,CYP19A1
DB08916,11113,CIT
DB08916,2580,GAK
DB08916,2051,EPHB6
DB08916,8767,RIPK2
DB08916,6793,STK10
DB08916,25,ABL1
DB08916,1956,EGFR
DB08916,2064,ERBB2
DB08916,3932,LCK
DB08916,4233,MET
DB08916,3055,HCK
DB08916,6714,SRC
DB08916,5261,PHKG2
DB08916,2065,ERBB3
DB08916,558,AXL
DB08916,2322,FLT3
DB08916,7294,TXK
DB08916,2444,FRK
DB08916,5601,MAPK9
DB08916,1454,CSNK1E
DB08916,640,BLK
DB08916,3654,IRAK1
DB08916,5602,MAPK10
DB08916,5607,MAP2K5
DB08916,1859,DYRK1A
DB08916,2066,ERBB4
DB08916,1432,MAPK14
DB08916,5260,PHKG1
DB08916,388228,SBK1
DB08916,147746,HIPK4
DB08916,8445,DYRK2
DB08916,8569,MKNK1
DB08916,9748,SLK
DB08916,2872,MKNK2
DB08916,9263,STK17A
DB08916,285220,EPHA6
DB08916,27330,RPS6KA6
DB08916,9149,DYRK1B
DB08932,1910,EDNRB
DB08932,1909,EDNRA
DB08943,1586,CYP17A1
DB08954,3269,HRH1
DB08954,3757,KCNH2
DB08954,2904,GRIN2B
DB08954,10280,SIGMAR1
DB09028,1139,CHRNA7
DB01223,135,ADORA2A
DB01223,136,ADORA2B
DB05381,3274,HRH2
DB05381,3269,HRH1
DB05381,59340,HRH4
DB05381,11255,HRH3
DB01075,1129,CHRM2
DB01075,1132,CHRM4
DB01075,1133,CHRM5
DB01075,1128,CHRM1
DB01075,1131,CHRM3
DB01075,3757,KCNH2
DB08846,10733,PLK4
DB08846,6790,AURKA
DB08846,771,CA12
DB08846,9891,NUAK1
DB08846,1956,EGFR
DB08846,759,CA1
DB08846,760,CA2
DB08846,2064,ERBB2
DB08846,3643,INSR
DB08846,3480,IGF1R
DB08846,4233,MET
DB08846,5159,PDGFRB
DB08846,6714,SRC
DB08846,673,BRAF
DB08846,231,AKR1B1
DB08846,762,CA4
DB08846,765,CA6
DB08846,207,AKT1
DB08846,763,CA5A
DB08846,2324,FLT4
DB08846,3791,KDR
DB08846,1326,MAP3K8
DB08846,2932,GSK3B
DB08846,5347,PLK1
DB08846,2050,EPHB4
DB08846,23621,BACE1
DB08846,1457,CSNK2A1
DB08846,7010,TEK
DB08846,5747,PTK2
DB08846,768,CA9
DB08846,9356,SLC22A6
DB08846,9212,AURKB
DB08846,23632,CA14
DB08865,658,BMPR1B
DB08865,10733,PLK4
DB08865,8780,RIOK3
DB08865,3551,IKBKB
DB08865,8573,CASK
DB08865,6790,AURKA
DB08865,9201,DCLK1
DB08865,4593,MUSK
DB08865,2051,EPHB6
DB08865,9175,MAP3K13
DB08865,6885,MAP3K7
DB08865,8767,RIPK2
DB08865,3717,JAK2
DB08865,9475,ROCK2
DB08865,8408,ULK1
DB08865,6793,STK10
DB08865,23683,PRKD3
DB08865,25,ABL1
DB08865,1956,EGFR
DB08865,4914,NTRK1
DB08865,3643,INSR
DB08865,3932,LCK
DB08865,2534,FYN
DB08865,2242,FES
DB08865,1436,CSF1R
DB08865,7525,YES1
DB08865,4067,LYN
DB08865,5979,RET
DB08865,3480,IGF1R
DB08865,4233,MET
DB08865,6098,ROS1
DB08865,2268,FGR
DB08865,3815,KIT
DB08865,6714,SRC
